ID,Common.name,Order,Family,Genus,Species,Genus.species,Ecotype_old,Migratory,Ecotype.new,Fin.area,Fin.length.SL.from.base,Fin.length.along.LR,Fin.width.base,Fin.width.trailing,Sk.area,Sk.longest.radial,num.radials,Perc.Skeletal.extent_area,Perc.Skeletal.extent_longest.radial,Aspect.Ratio_base,Aspect.Ratio_fork,Leading.edge.degree.of.taper,LE.taper.angle,Trailing.edge.degree.of.taper,TE.taper.angle,LE.P.perc.cal,LE.P.Shape,LE.IM.perc.cal,LE.IM.shape,LG.P.perc.cal,LG.P.Shape,LG.IM.perc.cal,LG.IM.shape,TE.P.perc.cal,TE.P.Shape,TE.IM.perc.cal,TE.IM.shape
ANG_102,Angel,Squatiniformes,Squatinidae,Squatina,dumeril,Squatina_dumeril,Benthic,N,A,239.918,21.646,16.014,14.564,15.102,153.092,13.542,49,63.81013513,62.56121223,0.884094132,1.952956077,-0.482055357,13.55139505,0.226989803,6.475071703,5.415560252,2.644580251,23.35026738,1.782504023,24.42651297,1.272531536,17.63204899,1.819456159,0,1.551268212,0,22.62046401
ANG_103,Angel,Squatiniformes,Squatinidae,Squatina,dumeril,Squatina_dumeril,Benthic,N,A,225.72,22.791,22.791,13.599,18.737,165.992,14.803,51,73.53889775,64.95107718,0.819301794,2.30121248,0.111437263,3.189144854,0.147302129,4.21228966,22.42549425,3.448463451,0,3.794298015,12.77723258,0.314322997,20.32315446,2.134955373,2.204408818,11.37101136,8.09173518,1.851504124
ANG_201,Angel,Squatiniformes,Squatinidae,Squatina,dumeril,Squatina_dumeril,Benthic,N,A,332.645,26.592,23.962,19.652,15.612,265.246,20.694,47,79.73845992,77.82039711,1.161000779,2.125793155,-0.143223162,4.096049084,-0.430438125,12.14587642,8.964451314,2.77835084,26.20195204,6.542206529,38.14627082,0.881965974,24.83136594,4.125018883,9.721040364,7.382053484,8.771791847,13.53942141
ANG_202,Angel,Squatiniformes,Squatinidae,Squatina,dumeril,Squatina_dumeril,Benthic,N,A,397.338,27.914,25.905,18.207,19.346,310.775,23.264,53,78.21426594,83.34169234,0.834289318,1.961029139,0.034942624,1.000930599,0.253695854,7.229242061,18.73490338,1.342655581,0,4.6699112,43.34849346,1.148870026,27.53376783,2.408094197,19.63129048,0.94037356,9.677419355,13.06065982
Blacktip_130,Blacktip,Carcharhiniformes,Carcharhinidae,Carcharhinus,limbatus,Carcharhinus_limbatus,Inshore_offshore,Y,C,231.62,25.522,26.132,9.663,15.877,119.953,18.702,27,51.78870564,73.27795627,0.403132584,2.812246283,0.019651068,0.562943502,0.327265856,9.293116893,39.93969045,3.283426993,65.98242812,0.580933453,39.19251305,0.973499009,41.12655899,1.050987222,42.40984065,1.982464,16.10263523,3.288621422
Blacktip_15.9,Blacktip,Carcharhiniformes,Carcharhinidae,Carcharhinus,limbatus,Carcharhinus_limbatus,Inshore_offshore,Y,C,101.278,17.033,17.232,6.177,10.321,65.388,13.679,27,64.56288631,80.30881231,0.376738571,2.864621033,0.025966476,0.743842952,0.244937506,6.982173603,44.49156366,5.52908281,29.41847206,0.451376869,53.23628219,0.806018533,51.13905595,0.88811776,25.7507685,11.99305905,29.58380202,6.19812322
Blacktip_25.4,Blacktip,Carcharhiniformes,Carcharhinidae,Carcharhinus,limbatus,Carcharhinus_limbatus,Inshore_offshore,Y,C,248.807,27.273,27.702,9.965,16.211,149.157,22.52,26,59.94887604,82.57250761,0.39910945,2.989532163,-0.121892542,3.487650146,0.105607304,3.022619231,51.60888681,3.633475045,68.05020587,0.793287111,69.90536278,1.863040151,59.01604278,1.51016472,36.40598532,7.149453254,1.212553495,4.796204039
Blacktip_84.5,Blacktip,Carcharhiniformes,Carcharhinidae,Carcharhinus,limbatus,Carcharhinus_limbatus,Inshore_offshore,Y,C,64.64,13.925,12.392,4.719,8.171,36.252,11.692,28,56.08292079,83.96409336,0.344507441,2.999777614,-0.256027414,7.294969001,0.118957288,3.40386509,23.99571505,0.974014105,46.01924759,1.393440415,55.70145128,3.142904152,65.68144499,2.850714136,93.31797235,7.064404432,62.54125413,6.691909781
B950,Blue,Carcharhiniformes,Carcharhinidae,Prionace,glauca,Prionace_glauca,Oceanic,Y,D,74.238,17.247,17.247,4.817,7.294,41.436,14.845,28,55.81508123,86.07294022,0.312555416,4.006829508,0.213874417,6.103854249,0.516588977,14.48264714,18.60417309,5.481059324,0,0.510544842,14.15843968,0.254897043,12.86079649,0.732340976,0,3.333529737,0,3.483948667
B951,Blue,Carcharhiniformes,Carcharhinidae,Prionace,glauca,Prionace_glauca,Oceanic,Y,D,72.782,15.929,15.929,4.41,7.281,39.62,13.348,27,54.43653651,83.79684852,0.267210299,3.486205944,0.054937509,1.57344803,0.212608158,6.067986344,5.1843044,0.974027084,14.76885645,2.948024208,13.2082153,0.317668448,5.528777998,0.497935094,20.89552239,0.866989015,11.05850524,0.310359034
