ID,Species
21_C._Limbatus_overlay,Carcharhinus_limbatus
23_SHH_overlay,Sphyrna_lewini
24_BH_Overlay,Sphyrna_tiburo
25_ATSN_overlay,Rhizoprionodon_terraenovae
26_BT_overlay,Carcharhinus_limbatus
27_atsn_overlay,Rhizoprionodon_terraenovae
ANG_102_overlay,Squatina_dumeril
Ang_103_Overlay,Squatina_dumeril
ANG_201_overlay,Squatina_dumeril
ANG_202_overlay,Squatina_dumeril
ATSN_3.26.18_overlay,Rhizoprionodon_terraenovae
ATSN_82_Overlay,Rhizoprionodon_terraenovae
ATSN_94_Overlay,Rhizoprionodon_terraenovae
ATSN_FL_69.2_overlay,Rhizoprionodon_terraenovae
ATSN_FL_70_overlay,Rhizoprionodon_terraenovae
ATSN_FL_74_overlay,Rhizoprionodon_terraenovae
B_950_Overlay,Prionace_glauca
B_951_overlay,Prionace_glauca
Basking_overlay,Cetorhinus_maximus
Blacknose_38_Skeleton,Carcharhinus_acronotus
Blacktip_15.9_Overlay.png,Carcharhinus_limbatus
Blacktip_25.4_Overlay.png,Carcharhinus_limbatus
Blacktip_84.5_Overlay,Carcharhinus_limbatus
Blacktip_90_at_bite_off_overlay,Carcharhinus_limbatus
Blacktip_FL_130_overlay,Carcharhinus_limbatus
Bonnet_45_Overlay,Sphyrna_tiburo
Bonnet_TL_59_Overlay,Sphyrna_tiburo
Bonnethead_112_Overlay.png,Sphyrna_tiburo
Bonnethead_FL_51.8_overlay,Sphyrna_tiburo
Bonnethead_FL_73_overlay,Sphyrna_tiburo
CT_10_Overlay,Alopias_vulpinus
CT_9_fin_overlay,Alopias_vulpinus
D_397_overlay,Carcharhinus_obscurus
D_400_fin_overlay,Carcharhinus_obscurus
D398_Overlay,Carcharhinus_obscurus
Dusky_FL_85_overlay,Carcharhinus_obscurus
Finetooth_97Overlat.png,Carcharhinus_isodon
GHH_4.17.17_overlay,Sphyrna_mokarran
GHH_5.3.17_overlay,Sphyrna_mokarran
LN_109_Fin_overlay,Lamna_nasus
LN_2_NAST_overlay,Lamna_nasus
LN_635_fin_overlay,Lamna_nasus
LN_638A_fin_overlay,Alopias_vulpinus
LN_651_overlay,Lamna_nasus
M_527Overlay,Isurus_oxyrinchus
Mako_3_SIYC_2016_overlay,Isurus_oxyrinchus
Mako_4_NAST_overlay,Isurus_oxyrinchus
Porbeagle_3_NAST_2016_Overlay,Lamna_nasus
Sandbar_B4226_overlay,Carcharhinus_plumbeus
Sandbar_TL_100_overlay,Carcharhinus_plumbeus
SFM_1_SICY_2016_overlay,Isurus_oxyrinchus
SHH_FL_42.3_overlay,Sphyrna_lewini
SHH_FL_42.6_overlay,Sphyrna_lewini
SHH_FL_62.5_overlay,Sphyrna_lewini
Silky_9_Overlay,Carcharhinus_falciformis
Silky_FL_86.7_overlay,Carcharhinus_falciformis
Thresher_1_SIYC_2016_Overlay,Alopias_vulpinus
Thresher_5_NAST_2016_overlay,Alopias_vulpinus
Tiger_5.16.17_overlay,Galeocerdo_cuvier
W_149_Fin_overlay,Carcharodon_carcharias
W_168_Overlay,Carcharodon_carcharias
White_10.31.16_overlay,Carcharodon_carcharias
White_152_Overlay,Carcharodon_carcharias
